Country,Funding_Agency,Partner,Indicator,Fiscal_Year,Targets,Q1,Q2,Q3,Q4,Annual_Total
Kenya,USAID,AMPATHplus,HTS_TST,2020,640565,190488,193543,167755,213955,765741
Kenya,HHS/CDC,AMREF Nairobi Kitui,HTS_TST,2020,49123,6443,6741,5718,11690,30592
Kenya,USAID,Afya Jijini,HTS_TST,2020,295863,58256,53641,45851,54088,211836
Kenya,USAID,Afya Kamilisha,HTS_TST,2020,285813,67951,76701,58621,65383,268656
Kenya,USAID,Afya Nyota ya Bonde,HTS_TST,2020,395929,76070,81891,75912,94288,328161
Kenya,USAID,Afya Pwani,HTS_TST,2020,358509,99789,105671,92601,105034,403095
Kenya,USAID,Afya Ziwani,HTS_TST,2020,123243,37629,33307,32924,44957,148817
Kenya,HHS/CDC,Bomu Hospital Affiliated Sites,HTS_TST,2020,51336,6673,10956,14343,21267,53239
Kenya,HHS/CDC,CHAK CHAP Uzima,HTS_TST,2020,147894,39097,40233,34568,38969,152867
Kenya,HHS/CDC,CHS Naishi,HTS_TST,2020,244476,113522,103474,68086,68787,353869
Kenya,HHS/CDC,CHS Shinda,HTS_TST,2020,164554,63531,45027,32999,30870,172427
Kenya,HHS/CDC,CHS Tegemeza Plus,HTS_TST,2020,173614,67778,60715,42200,47760,218453
Kenya,HHS/CDC,Columbia STARS,HTS_TST,2020,31921,4545,5460,2364,4721,17090
Kenya,HHS/CDC,Coptic Hospitals,HTS_TST,2020,65215,12189,9562,9293,15334,46378
Kenya,HHS/CDC,EGPAF Timiza,HTS_TST,2020,279800,105344,122270,96004,67580,391198
Kenya,HHS/CDC,Faith-Based Sites in the Eastern Slums of Nairobi,HTS_TST,2020,71653,13676,11411,7459,8802,41348
Kenya,HHS/CDC,HWWK Nairobi Eastern,HTS_TST,2020,10428,7147,9375,6457,11350,34329
Kenya,USAID,Health Communication & Marketing (HCM),HTS_TST,2020,73259,27452,8462,,,35914
Kenya,HHS/CDC,IRDO Tuungane 3,HTS_TST,2020,100384,11729,20028,20202,21856,73815
Kenya,USAID,Integrated Program for both HIV infected and affected children and their households,HTS_TST,2020,5205,1164,1085,768,1206,4223
Kenya,HHS/CDC,KCCB KARP,HTS_TST,2020,141879,45726,30176,17380,17027,110309
Kenya,HHS/CDC,Kenya Prison Services,HTS_TST,2020,52690,24425,22992,8077,13354,68848
Kenya,DOD,Kisumu West,HTS_TST,2020,37678,11372,10536,7070,8637,37615
Kenya,HHS/CDC,LVCT Daraja,HTS_TST,2020,34317,21978,20496,18426,21537,82437
Kenya,HHS/CDC,LVCT Steps,HTS_TST,2020,29927,25439,12882,8518,14102,60941
Kenya,USAID,Linkages,HTS_TST,2020,2941,,,,,0
Kenya,USAID,Meeting Targets and Maintaining Epidemic Control (EpiC),HTS_TST,2020,,2409,2286,4206,4124,13025
Kenya,USAID,Mwendo,HTS_TST,2020,280,,,,,0
Kenya,HHS/CDC,Ngima for Sure,HTS_TST,2020,4812,2347,1273,915,850,5385
Kenya,DOD,South Rift Valley,HTS_TST,2020,195429,66162,71852,57981,71935,267930
Kenya,HHS/CDC,UCSF Clinical Kisumu,HTS_TST,2020,184406,40127,48053,28148,38543,154871
Kenya,HHS/CDC,UMB PACT Kamili,HTS_TST,2020,171669,65093,56365,29052,40260,190770
Kenya,HHS/CDC,UMB Timiza,HTS_TST,2020,448202,156370,100249,66276,70072,392967
Kenya,HHS/CDC,UON COE Niche,HTS_TST,2020,87346,13842,10642,6510,16920,47914
Kenya,HHS/CDC,UON CRISSP Plus,HTS_TST,2020,158974,72816,66769,45450,49255,234290
Kenya,USAID,AMPATHplus,HTS_TST,2021,801662,162669,186158,135164,95799,579790
Kenya,HHS/CDC,AMREF Nairobi Kitui,HTS_TST,2021,21131,7443,6917,4853,4227,23440
Kenya,USAID,Afya Jijini,HTS_TST,2021,134273,93926,99639,,,193565
Kenya,USAID,Afya Nyota ya Bonde,HTS_TST,2021,223964,117070,142187,,,259257
Kenya,USAID,Afya Pwani,HTS_TST,2021,179753,86497,87357,85867,,259721
Kenya,USAID,Afya Ziwani,HTS_TST,2021,42508,35840,32360,28719,,96919
Kenya,HHS/CDC,Bomu Hospital Affiliated Sites,HTS_TST,2021,39767,18254,15527,15123,14105,63009
Kenya,HHS/CDC,CHAK CHAP Uzima,HTS_TST,2021,120563,40757,36397,26818,24999,128971
Kenya,HHS/CDC,CHS Naishi,HTS_TST,2021,242669,60064,73698,56718,56821,247301
Kenya,HHS/CDC,CHS Shinda,HTS_TST,2021,195278,42963,59826,46215,29075,178079
Kenya,HHS/CDC,CHS Tegemeza Plus,HTS_TST,2021,174024,46597,51237,36470,36033,170337
Kenya,HHS/CDC,Columbia STARS,HTS_TST,2021,26307,5599,5670,5733,4167,21169
Kenya,HHS/CDC,Coptic Hospitals,HTS_TST,2021,35191,12156,12154,7995,7889,40194
Kenya,HHS/CDC,EGPAF Timiza,HTS_TST,2021,305875,70384,67043,48522,53082,239031
Kenya,HHS/CDC,Faith-Based Sites in the Eastern Slums of Nairobi,HTS_TST,2021,32327,7805,10956,6009,6253,31023
Kenya,HHS/CDC,HWWK Nairobi Eastern,HTS_TST,2021,15914,11109,12882,9828,7751,41570
Kenya,USAID,Health Communication & Marketing (HCM),HTS_TST,2021,29315,,,,,0
Kenya,HHS/CDC,IRDO Tuungane 3,HTS_TST,2021,115945,15608,19859,10761,8082,54310
Kenya,USAID,Integrated Program for both HIV infected and affected children and their households,HTS_TST,2021,2958,1268,1195,1031,715,4209
Kenya,HHS/CDC,KCCB KARP,HTS_TST,2021,126079,17463,22641,15376,13071,68551
Kenya,DOD,Kisumu West,HTS_TST,2021,27680,7907,6978,6230,5565,26680
Kenya,HHS/CDC,LVCT Daraja,HTS_TST,2021,19875,29404,24113,17702,9761,80980
Kenya,HHS/CDC,LVCT PRISONS,HTS_TST,2021,55200,11914,14984,12579,19215,58692
Kenya,HHS/CDC,LVCT Steps,HTS_TST,2021,28118,21103,29145,18413,7756,76417
Kenya,USAID,Liverpool VCT Care & Treatment - (LVCT Health),HTS_TST,2021,119791,,,,89218,89218
Kenya,HHS/CDC,Ngima for Sure,HTS_TST,2021,5199,660,752,484,440,2336
Kenya,DOD,South Rift Valley,HTS_TST,2021,382755,63494,84084,48881,56537,252996
Kenya,HHS/CDC,UCSF Clinical Kisumu,HTS_TST,2021,140675,28963,27403,30659,21007,108032
Kenya,HHS/CDC,UMB PACT Kamili,HTS_TST,2021,65054,30201,35616,34385,33500,133702
Kenya,HHS/CDC,UMB Timiza,HTS_TST,2021,277361,55484,60839,65446,66765,248534
Kenya,HHS/CDC,UON COE Niche,HTS_TST,2021,42959,17282,15240,12958,12868,58348
Kenya,HHS/CDC,UON CRISSP Plus,HTS_TST,2021,188651,45770,45809,34148,42284,168011
Kenya,USAID,USAID Boresha Jamii,HTS_TST,2021,151992,,,,55531,55531
Kenya,USAID,USAID Fahari ya Jamii,HTS_TST,2021,125788,,,63015,68844,131859
Kenya,USAID,USAID IMARISHA JAMII Program,HTS_TST,2021,104212,,,27542,48878,76420
Kenya,USAID,USAID Jamii Tekelezi,HTS_TST,2021,96268,,,28105,42189,70294
Kenya,USAID,USAID Tujenge Jamii Activity,HTS_TST,2021,118931,,,67799,78207,146006
Kenya,HHS/CDC,Bomu Hospital Affiliated Sites,HTS_TST,2022,47191,12344,16766,9097,10765,48972
Kenya,HHS/CDC,CHAK CHAP Uzima,HTS_TST,2022,124507,20068,24391,17749,13774,75982
Kenya,HHS/CDC,CHS SHINDA TENA,HTS_TST,2022,212644,27077,34084,11373,14545,87079
Kenya,HHS/CDC,CHS Tegemeza Plus,HTS_TST,2022,114317,26450,35609,27223,25676,114958
Kenya,HHS/CDC,CIHEB CONNECT Nairobi,HTS_TST,2022,210029,60963,67711,69171,59055,256900
Kenya,HHS/CDC,CIHEB ENTRENCH,HTS_TST,2022,322762,66600,78824,51366,24550,221340
Kenya,HHS/CDC,CIHEB PACT Imara,HTS_TST,2022,252656,52339,63891,41743,22081,180054
Kenya,HHS/CDC,COUNTY GOVERNMENT OF HOMA BAY,HTS_TST,2022,4012,1379,1041,1058,721,4199
Kenya,HHS/CDC,Coptic Hospitals,HTS_TST,2022,29966,5644,5926,6654,8952,27176
Kenya,HHS/CDC,Faith-Based Sites in the Eastern Slums of Nairobi,HTS_TST,2022,38521,5158,7506,4815,3552,21031
Kenya,USAID,Integrated Program for both HIV infected and affected children and their households,HTS_TST,2022,6467,734,506,547,,1787
Kenya,HHS/CDC,KCCB KARP,HTS_TST,2022,134221,11296,11650,9199,6359,38504
Kenya,DOD,Kisumu West,HTS_TST,2022,23282,5116,6171,4901,1312,17500
Kenya,HHS/CDC,LVCT PRISONS,HTS_TST,2022,30584,12759,15732,11893,9769,50153
Kenya,HHS/CDC,LVCT Vukisha 95,HTS_TST,2022,330457,68418,76849,58111,25232,228610
Kenya,USAID,Liverpool VCT Care & Treatment - (LVCT Health),HTS_TST,2022,387075,69387,76653,72403,80253,298696
Kenya,HHS/CDC,MIGORI COUNTY HEALTH MANAGEMENT TEAM,HTS_TST,2022,2593,2113,2415,2567,1123,8218
Kenya,HHS/CDC,NGIMA for sure,HTS_TST,2022,10281,1327,1306,658,667,3958
Kenya,HHS/CDC,NYERI COUNTY DEPARTMENT OF HEALTH SERVICES,HTS_TST,2022,4768,1277,2119,1310,1099,5805
Kenya,DOD,South Rift Valley,HTS_TST,2022,236738,55434,72584,60786,45647,234451
Kenya,HHS/CDC,UON CRISSP Plus,HTS_TST,2022,203463,48775,65014,31660,40751,186200
Kenya,USAID,USAID AMPATH Uzima,HTS_TST,2022,351549,39142,53654,51132,52817,196745
Kenya,USAID,USAID Boresha Jamii,HTS_TST,2022,378665,48425,46240,42199,26131,162995
Kenya,USAID,USAID Dumisha Afya,HTS_TST,2022,224305,25702,31619,27131,21929,106381
Kenya,USAID,USAID Fahari ya Jamii,HTS_TST,2022,294008,57795,57444,47285,47140,209664
Kenya,USAID,USAID IMARISHA JAMII Program,HTS_TST,2022,100800,26618,31085,28718,19481,105902
Kenya,USAID,USAID Jamii Tekelezi,HTS_TST,2022,167772,44642,52386,43498,33455,173981
Kenya,USAID,USAID Tujenge Jamii Activity,HTS_TST,2022,230404,48175,63476,53244,34634,199529
Kenya,HHS/CDC,CHAP Stawisha,HTS_TST,2023,36558,7001,8024,10278,11461,36764
Kenya,HHS/CDC,CHS SHINDA TENA,HTS_TST,2023,172669,25389,22816,49705,58697,156607
Kenya,HHS/CDC,CIHEB CONNECT Nairobi,HTS_TST,2023,235335,62673,80124,90058,88358,321213
Kenya,HHS/CDC,CIHEB ENTRENCH,HTS_TST,2023,305697,59584,76779,111735,106899,354997
Kenya,HHS/CDC,CIHEB PACT Imara,HTS_TST,2023,208283,52170,62229,75395,79281,269075
Kenya,HHS/CDC,COUNTY GOVERNMENT OF HOMA BAY,HTS_TST,2023,4148,2333,3191,2290,1832,9646
Kenya,HHS/CDC,Coptic Orthodox Church,HTS_TST,2023,51903,8956,10470,11460,13706,44592
